category_id,name,slug,image_path,original_path
1,อาหารสัตว์เลี้ยง,pet_food,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_01_pet_food.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0194c543ae268b1c016a4e76d9a34c8198802bae102786a90b.png
2,ขนมและของว่างสัตว์เลี้ยง,pet_treats,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_02_pet_treats.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0194c543ae268b1c016a4e770f57d4819880a1f691128b32b7.png
3,ยาและผลิตภัณฑ์รักษาโรค,pet_medicine,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_03_pet_medicine.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0194c543ae268b1c016a4e775dd3708198b18a06a6ea687d6f.png
4,อุปกรณ์และของใช้สัตว์เลี้ยง,pet_accessories,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_04_pet_accessories.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0194c543ae268b1c016a4e77add5f48198bd0783432b02eb66.png
5,ผลิตภัณฑ์ดูแลสุขภาพ,health_care_products,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_05_health_care_products.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0194c543ae268b1c016a4e77f7e11c81988fdb1a849c59dcde.png
6,ผลิตภัณฑ์กำจัดปรสิตและถ่ายพยาธิ,parasite_deworming_products,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_06_parasite_deworming_products.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0194c543ae268b1c016a4e7845fdac81988fe3e348fb275181.png
7,บรรจุภัณฑ์สำเร็จรูป,ready_made_packaging,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_07_ready_made_packaging.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0194c543ae268b1c016a4e789b2f80819898e03ae6037d407c.png
9,วัตถุดิบโปรตีน,protein_raw_materials,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_09_protein_raw_materials.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0194c543ae268b1c016a4e78d4ebb881988712d33bee4bb9ab.png
10,วัตถุดิบธัญพืชและเส้นใย,grain_fiber_raw_materials,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_10_grain_fiber_raw_materials.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0194c543ae268b1c016a4e792643c481989ab32b313c888308.png
12,สารเติมแต่งอาหาร,food_additives,/Users/chanapapupiam/Documents/Project_b/Prototype_Demo/generated_category_thumbnails/category_12_food_additives.png,/Users/chanapapupiam/.codex/generated_images/019eeaa5-9981-7a23-b297-42209a96db7f/ig_0194c543ae268b1c016a4e79646bf48198aef67ea32db83a40.png
